                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.1568,                 1.1145,                0.75111,                0.94058,                0.90629,                0.95374,                0.92405,                0.67147,                0.88946,                0.94306,                 0.8944,                0.50502,                0.81652,                 1.1358,                0.63718,                0.97769,              0.0091882,              0.0091882,              0.0091882
                     84,                  1.185,                 1.1416,                0.75409,                0.93375,                0.94132,                0.93238,                0.93933,                0.66647,                0.93772,                0.92883,                0.93463,                0.52758,                0.90396,                 1.1043,                0.65252,                0.99341,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.1799,                 1.1338,                0.75447,                0.93326,                0.93465,                0.93238,                0.92574,                0.63313,                0.92158,                0.92002,                0.91057,                0.50265,                0.90237,                 1.1982,                0.66438,                0.99502,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.1471,                 1.1274,                0.73996,                0.94067,                0.92346,                0.94466,                0.93065,                0.63308,                0.91284,                0.92527,                0.91714,                0.52393,                0.90474,                 1.1165,                0.61682,                 1.0003,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.1806,                 1.0928,                 0.7505,                0.93284,                0.92936,                0.93638,                0.91088,                0.61307,                0.89436,                0.90747,                0.87616,                0.43773,                 1.0275,                   1.24,                0.64519,                 1.0037,              0.0091486,              0.0091486,              0.0091486
                     88,                   1.17,                 1.1046,                0.73903,                0.93804,                0.92126,                0.91596,                0.90282,                0.60745,                0.87832,                0.87341,                0.86385,                0.42283,                0.95586,                 1.2737,                0.65528,                0.99534,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.1888,                 1.1028,                0.76397,                0.94851,                0.91851,                 0.8968,                0.91089,                0.56728,                0.89903,                  0.879,                0.88214,                0.50605,                 1.0224,                 1.3069,                  0.676,                0.98692,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.1593,                 1.0754,                0.74982,                0.93368,                0.88647,                0.91697,                0.89666,                0.56213,                0.88161,                0.90747,                0.87393,                0.43761,                 1.1477,                 1.2739,                0.70283,                 1.0064,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.1579,                 1.0858,                0.74593,                0.94281,                0.91359,                0.92171,                0.91472,                0.63433,                 0.8966,                0.90391,                0.88907,                0.47128,                0.90402,                 1.1885,                0.62168,                0.97757,               0.009109,               0.009109,               0.009109
                     92,                 1.1596,                 1.1145,                0.72747,                0.93523,                0.92533,                 0.9395,                0.93186,                0.67179,                0.90724,                0.92171,                0.90424,                0.47498,                0.85874,                 1.1305,                0.62978,                0.97764,              0.0090991,              0.0090991,              0.0090991
